id,length,starting_pitch,sequence
528,8,C,"C, C, F, F, B, B, B, B"
529,8,C,"C, F, B, B, B, F, F, B"
530,8,C,"C, F, B, B, F, B, F, B"
531,8,C,"C, F, B, B, F, F, B, B"
532,8,C,"C, F, B, F, B, B, F, B"
533,8,C,"C, F, B, F, B, F, B, B"
534,8,C,"C, F, B, F, F, B, B, B"
535,8,C,"C, F, F, B, B, B, F, B"
536,8,C,"C, F, F, B, B, F, B, B"
537,8,C,"C, F, F, B, F, B, B, B"
538,8,C,"C, F, F, F, B, B, B, B"
539,8,F,"F, B, B, B, S, F, F, B"
540,8,F,"F, B, B, B, C, F, F, B"
541,8,F,"F, B, B, B, F, F, F, B"
542,8,F,"F, B, B, S, B, F, F, B"
543,8,F,"F, B, B, S, F, B, F, B"
544,8,F,"F, B, B, S, F, F, B, B"
545,8,F,"F, B, B, C, B, F, F, B"
546,8,F,"F, B, B, C, F, B, F, B"
547,8,F,"F, B, B, C, F, F, B, B"
548,8,F,"F, B, B, F, B, F, F, B"
549,8,F,"F, B, B, F, F, B, F, B"
550,8,F,"F, B, B, F, F, F, B, B"
551,8,F,"F, B, S, B, B, F, F, B"
552,8,F,"F, B, S, B, F, B, F, B"
553,8,F,"F, B, S, B, F, F, B, B"
554,8,F,"F, B, S, F, B, B, F, B"
555,8,F,"F, B, S, F, B, F, B, B"
556,8,F,"F, B, S, F, F, B, B, B"
557,8,F,"F, B, C, B, B, F, F, B"
558,8,F,"F, B, C, B, F, B, F, B"
559,8,F,"F, B, C, B, F, F, B, B"
560,8,F,"F, B, C, F, B, B, F, B"
561,8,F,"F, B, C, F, B, F, B, B"
562,8,F,"F, B, C, F, F, B, B, B"
563,8,F,"F, B, F, B, B, F, F, B"
564,8,F,"F, B, F, B, F, B, F, B"
565,8,F,"F, B, F, B, F, F, B, B"
566,8,F,"F, B, F, F, B, B, F, B"
567,8,F,"F, B, F, F, B, F, B, B"
568,8,F,"F, B, F, F, F, B, B, B"
569,8,F,"F, S, B, B, B, F, F, B"
570,8,F,"F, S, B, B, F, B, F, B"
571,8,F,"F, S, B, B, F, F, B, B"
572,8,F,"F, S, B, F, B, B, F, B"
573,8,F,"F, S, B, F, B, F, B, B"
574,8,F,"F, S, B, F, F, B, B, B"
575,8,F,"F, S, F, B, B, B, F, B"
576,8,F,"F, S, F, B, B, F, B, B"
577,8,F,"F, S, F, B, F, B, B, B"
578,8,F,"F, S, F, F, B, B, B, B"
579,8,F,"F, C, B, B, B, F, F, B"
580,8,F,"F, C, B, B, F, B, F, B"
581,8,F,"F, C, B, B, F, F, B, B"
582,8,F,"F, C, B, F, B, B, F, B"
